timestamp,tweets
2023-04-24 15:04:06+00:00,"In G3 Session, we also explained the #Tech instruments that could be providing the floor for this pullback and where we like to enter for a reaction at extreme areas. #Elliottwave #Stocks #Trading $DJIA #DowJones $AAPL $TSLA $SPX $SPY $QQQ $NASDAQ"
2023-04-24 14:57:16+00:00,$IXIC $NASDAQ $QQQ Beautiful example of a liquidity grab here. Wick above previous highs take out stop orders here and send her the other way 📚 https://t.co/FFBgWMkekv
2023-04-24 14:41:27+00:00,"Current short working nice. It actually went pretty close to hitting SL. If it did, don't matter. Control your emotions and wait for the next trade to setup. #daytrading #NAS100 $NQ $NASDAQ https://t.co/WNVn3EvOXR"
2023-04-24 14:26:52+00:00,RT @sasquatch_unit: $MULN truth! 🐋 🐳 🐋 🐳 🐋 $NASDAQ @Stocktwits https://t.co/pJBUhaNeD4
2023-04-24 14:26:08+00:00,$MULN truth! 🐋 🐳 🐋 🐳 🐋 $NASDAQ @Stocktwits https://t.co/pJBUhaNeD4
2023-04-24 13:32:15+00:00,RT @VolumeDynamics: $NASDAQ VOLUME ALERT - HUGE OPENING 3 min volume bar well over 400M shares.... Danger.
2023-04-24 13:31:36+00:00,$NASDAQ VOLUME ALERT - HUGE OPENING 3 min volume bar well over 400M shares.... Danger.
2023-04-24 13:29:01+00:00,$nasdaq https://t.co/Yt3mELQecK
2023-04-24 13:28:33+00:00,$nasdaq https://t.co/Sy9CrTncT7
2023-04-24 13:27:37+00:00,"Up early with the bullshit. 10pt stop loss and $NASDAQ
 don't wanna give Elliot no type of respect this morning."
2023-04-24 13:18:44+00:00,"/NQ - $NASDAQ  
Bull: 13075 bounce -&gt; 13120 -&gt; 13150-13200 -&gt; 13300 
Bear: 13120-13100 rejection -&gt; 13075 -&gt; 13020-13000 https://t.co/n5FdpqyLwW"
2023-04-24 13:17:45+00:00,"/NQ - $NASDAQ 
 Bull: 13075 bounce -&gt; 13120 -&gt; 13150-13200 -&gt; 13300 
Bear: 13120-13100 rejection -&gt; 13075 -&gt; 13020-13000

WATCHING: $tsla $aapl $amzn $nvda 
Trade-Ideas posted already https://t.co/KQTcmhPM3B"
2023-04-24 13:16:00+00:00,"Trade Idea #3

$TSLA  

Bull: support 164 -&gt; 166 -&gt; 170 
Contracts: 170c 
Bear: break uptrend around 164 -&gt; 160.56 -&gt; 140 Contracts: 160p  
(Note: Earnings relatively weaker stock. Watch for flip in momentum or flush )
$qqq $nasdaq https://t.co/Pq7yVrrHx4"
2023-04-24 13:08:02+00:00,"$NASDAQ is at a decision point where a potential uptrend could start ... technically. Poblem is, the wider market (e.g. mid-caps $RUT) has been in a side-ways chop for about a year, and does not corroborate this setup. Tread with care. #stockmarket https://t.co/5QJG1xRfeF"
2023-04-24 12:57:01+00:00,"Popular indices $NASDAQ &amp; $SPX and $VIX are flat, while expected changes in the VIX ($VVIX) are diverging recently. After NASDAQ gap-up reversal on April 18, the market is expecting change - likely in form of the most crowded stocks (i.e. #FAANG) reporting over the next 2 weeks. https://t.co/qfcbYX64hS"
2023-04-24 12:53:06+00:00,"In Group 3 Live Session today, we will explain the main view and the plan entering the week which could see #Indices and #Tech trading lower into extreme areas. #Elliottwave #Stocks #Trading $DJIA #DowJones $AAPL $TSLA $SPX $SPY $QQQ $NASDAQ"
2023-04-24 12:18:42+00:00,"PREMARKET LIVE STREAM!🎙  
  
📈 Market Analysis $spy        
📰 News $nasdaq        
📊 Market Set-ups $tsla        
    
🔥WE ARE LIVE🔥 
https://t.co/pQlsIKDiYR"
2023-04-24 12:03:58+00:00,"$Nasdaq [15s. delayed]: Issued Press Release on April 24, 08:01:00: Select Star is Selected for SMBTech 50 by GGV Capital, Nasdaq, Crunchbase &amp;amp; Fenwick https://t.co/8pvYJFl9p0"
2023-04-24 11:47:33+00:00,$QQQ can be looking for a move lower to finish 7 swings structure toward equal legs area $311.5 - 305.3 #elliottwave $NDX $NASDAQ
2023-04-24 11:07:09+00:00,"RT @LiveSquawk: MacroWatch weekly recap and outlook: Global Stocks Hesitant with Earnings Caution, Global Yields Rise - $QQQ $SPX $SPY $ES_…"
2023-04-24 10:59:38+00:00,"MacroWatch weekly recap and outlook: Global Stocks Hesitant with Earnings Caution, Global Yields Rise - $QQQ $SPX $SPY $ES_F $ DJIA $IWM $NASDAQ $COMPQ $ND_F $NDX $DJ_F $DXY $ZN_F $CL_F $GC_F FxExplained https://t.co/hZk33kTS5m"
2023-04-24 10:32:19+00:00,$NASDAQ daily. https://t.co/YjK0VNfLiF https://t.co/md5NEmbHuU
2023-04-24 09:55:02+00:00,RT @ColinSt30481392: In a similar fashion $NASDAQ will back test the day 47 high early next week in an attempt to print a DCH in lieu of a…
2023-04-24 09:23:41+00:00,"Detaylar için Uluslararası Piyasalar Günlük Bültenimize linkten https://t.co/RUDphEH86B ulaşabilirsiniz.

$KO $SNY $BBBY $NASDAQ #DOWJONES #SP500 #ABDhissetakip https://t.co/J6dRIkccyk"
2023-04-24 09:16:54+00:00,"2023 Best year of manipulation 
Congratulations 🎊 

$spy
$qqq
$nasdaq"
2023-04-24 08:45:12+00:00,$GM $NASDAQ NEW ARTICLE : General Motors Q1 Earnings Preview: Here’s What to Expect https://t.co/CLKcdVm5Qh
2023-04-24 07:51:41+00:00,"Zagranie na kontrę na indeksach giełdowych - motyw europejski (poranny) - gram na odbicie od 61,8% #fibo na $DAX i $NASDAQ https://t.co/kOdOqLpdHy"
2023-04-24 06:47:45+00:00,"MacroWatch weekly recap and outlook: Global Stocks Hesitant with Earnings Caution, Global Yields Rise - $QQQ $SPX $SPY $ES_F $ DJIA $IWM $NASDAQ $COMPQ $ND_F $NDX $DJ_F $DXY $EURUSD $GBPUSD $ZN_F $CL_F $GC_F FxExplained https://t.co/g9CVIizSMB"
2023-04-24 06:47:30+00:00,"MacroWatch weekly recap and outlook: Global Stocks Hesitant with Earnings Caution, Global Yields Rise - $QQQ $SPX $SPY $ES_F $ DJIA $IWM $NASDAQ $COMPQ $ND_F $NDX $DJ_F $DXY $EURUSD $GBPUSD $ZN_F $CL_F $GC_F FxExplained https://t.co/ib8bDEJCsY"
2023-04-24 06:15:07+00:00,"RT @CryptoChille: $NASDAQ daily.

günlük grafikte kij-ten kaybedildi, direnç üstünde günlük kapatmadığı sürece 12817'yi hedefleyebilir.

16…"
2023-04-24 05:39:53+00:00,"RT @CryptoChille: $NASDAQ daily.

günlük grafikte kij-ten kaybedildi, direnç üstünde günlük kapatmadığı sürece 12817'yi hedefleyebilir.

16…"
2023-04-24 05:32:59+00:00,"$NASDAQ daily.

günlük grafikte kij-ten kaybedildi, direnç üstünde günlük kapatmadığı sürece 12817'yi hedefleyebilir.

16.30'da açılıyor abd tarafı ve kripto tarafı da açılışa göre o yönlü hareket edecektir. bugün dikkat edelim. https://t.co/31hOnonQkW"
2023-04-24 00:08:27+00:00,@busybrands Keep building @DennisMOLeary ignore the noise! Get to the $nasdaq
