timestamp,tweets,sentiment,tickers
2023-04-24 15:04:06+00:00,"In G3 Session, we also explained the #Tech instruments that could be providing the floor for this pullback and where we like to enter for a reaction at extreme areas. #Elliottwave #Stocks #Trading $DJIA #DowJones $AAPL $TSLA $SPX $SPY $QQQ $NASDAQ",Negative,AAPL
2023-04-24 15:04:06+00:00,"In G3 Session, we also explained the #Tech instruments that could be providing the floor for this pullback and where we like to enter for a reaction at extreme areas. #Elliottwave #Stocks #Trading $DJIA #DowJones $AAPL $TSLA $SPX $SPY $QQQ $NASDAQ",Negative,QQQ
2023-04-24 15:04:06+00:00,"In G3 Session, we also explained the #Tech instruments that could be providing the floor for this pullback and where we like to enter for a reaction at extreme areas. #Elliottwave #Stocks #Trading $DJIA #DowJones $AAPL $TSLA $SPX $SPY $QQQ $NASDAQ",Negative,TSLA
2023-04-24 14:57:16+00:00,$IXIC $NASDAQ $QQQ Beautiful example of a liquidity grab here. Wick above previous highs take out stop orders here and send her the other way 📚 https://t.co/FFBgWMkekv,Positive,QQQ
2023-04-24 14:41:27+00:00,"Current short working nice. It actually went pretty close to hitting SL. If it did, don't matter. Control your emotions and wait for the next trade to setup. #daytrading #NAS100 $NQ $NASDAQ https://t.co/WNVn3EvOXR",Positive,NQ
2023-04-24 14:26:52+00:00,RT @sasquatch_unit: $MULN truth! 🐋 🐳 🐋 🐳 🐋 $NASDAQ @Stocktwits https://t.co/pJBUhaNeD4,Neutral,RT
2023-04-24 13:32:15+00:00,RT @VolumeDynamics: $NASDAQ VOLUME ALERT - HUGE OPENING 3 min volume bar well over 400M shares.... Danger.,Positive,RT
2023-04-24 13:18:44+00:00,"/NQ - $NASDAQ  
Bull: 13075 bounce -&gt; 13120 -&gt; 13150-13200 -&gt; 13300 
Bear: 13120-13100 rejection -&gt; 13075 -&gt; 13020-13000 https://t.co/n5FdpqyLwW",Neutral,NQ
2023-04-24 13:17:45+00:00,"/NQ - $NASDAQ 
 Bull: 13075 bounce -&gt; 13120 -&gt; 13150-13200 -&gt; 13300 
Bear: 13120-13100 rejection -&gt; 13075 -&gt; 13020-13000

WATCHING: $tsla $aapl $amzn $nvda 
Trade-Ideas posted already https://t.co/KQTcmhPM3B",Neutral,NQ
2023-04-24 13:16:00+00:00,"Trade Idea #3

$TSLA  

Bull: support 164 -&gt; 166 -&gt; 170 
Contracts: 170c 
Bear: break uptrend around 164 -&gt; 160.56 -&gt; 140 Contracts: 160p  
(Note: Earnings relatively weaker stock. Watch for flip in momentum or flush )
$qqq $nasdaq https://t.co/Pq7yVrrHx4",Neutral,TSLA
2023-04-24 12:53:06+00:00,"In Group 3 Live Session today, we will explain the main view and the plan entering the week which could see #Indices and #Tech trading lower into extreme areas. #Elliottwave #Stocks #Trading $DJIA #DowJones $AAPL $TSLA $SPX $SPY $QQQ $NASDAQ",Positive,AAPL
2023-04-24 12:53:06+00:00,"In Group 3 Live Session today, we will explain the main view and the plan entering the week which could see #Indices and #Tech trading lower into extreme areas. #Elliottwave #Stocks #Trading $DJIA #DowJones $AAPL $TSLA $SPX $SPY $QQQ $NASDAQ",Positive,QQQ
2023-04-24 12:53:06+00:00,"In Group 3 Live Session today, we will explain the main view and the plan entering the week which could see #Indices and #Tech trading lower into extreme areas. #Elliottwave #Stocks #Trading $DJIA #DowJones $AAPL $TSLA $SPX $SPY $QQQ $NASDAQ",Positive,TSLA
2023-04-24 12:18:42+00:00,"PREMARKET LIVE STREAM!🎙  
  
📈 Market Analysis $spy        
📰 News $nasdaq        
📊 Market Set-ups $tsla        
    
🔥WE ARE LIVE🔥 
https://t.co/pQlsIKDiYR",Positive,LIVE
2023-04-24 12:18:42+00:00,"PREMARKET LIVE STREAM!🎙  
  
📈 Market Analysis $spy        
📰 News $nasdaq        
📊 Market Set-ups $tsla        
    
🔥WE ARE LIVE🔥 
https://t.co/pQlsIKDiYR",Positive,ARE
2023-04-24 11:47:33+00:00,$QQQ can be looking for a move lower to finish 7 swings structure toward equal legs area $311.5 - 305.3 #elliottwave $NDX $NASDAQ,Neutral,QQQ
2023-04-24 11:07:09+00:00,"RT @LiveSquawk: MacroWatch weekly recap and outlook: Global Stocks Hesitant with Earnings Caution, Global Yields Rise - $QQQ $SPX $SPY $ES_…",Neutral,QQQ
2023-04-24 11:07:09+00:00,"RT @LiveSquawk: MacroWatch weekly recap and outlook: Global Stocks Hesitant with Earnings Caution, Global Yields Rise - $QQQ $SPX $SPY $ES_…",Neutral,RT
